Award,Nominee,Mentions
best screenplay - motion picture,zero dark thirty,163
best screenplay - motion picture,lincoln,372
best screenplay - motion picture,silver linings playbook,221
best screenplay - motion picture,argo,1184
best screenplay - motion picture,django unchained,433
best director - motion picture,kathryn bigelow,17
best director - motion picture,ang lee,15
best director - motion picture,steven spielberg,9
best director - motion picture,quentin tarantino,249
best director - motion picture,ben affleck,906
best performance by an actress in a television series - comedy or musical,zooey deschanel,15
best performance by an actress in a television series - comedy or musical,tina fey,92
best performance by an actress in a television series - comedy or musical,julia louis-dreyfus,6
best performance by an actress in a television series - comedy or musical,amy poehler,199
best performance by an actress in a television series - comedy or musical,lena dunham,722
best foreign language film,the intouchables,3
best foreign language film,kon tiki,1
best foreign language film,a royal affair,2
best foreign language film,rust and bone,3
best foreign language film,amour,98
best performance by an actor in a supporting role in a motion picture,alan arkin,4
best performance by an actor in a supporting role in a motion picture,leonardo dicaprio,15
best performance by an actor in a supporting role in a motion picture,philip seymour hoffman,1
best performance by an actor in a supporting role in a motion picture,tommy lee jones,24
best performance by an actor in a supporting role in a motion picture,christoph waltz,370
"best performance by an actress in a supporting role in a series, mini-series or motion picture made for television",hayden panettiere,3
"best performance by an actress in a supporting role in a series, mini-series or motion picture made for television",archie panjabi,0
"best performance by an actress in a supporting role in a series, mini-series or motion picture made for television",sarah paulson,10
"best performance by an actress in a supporting role in a series, mini-series or motion picture made for television",sofia vergara,30
"best performance by an actress in a supporting role in a series, mini-series or motion picture made for television",maggie smith,748
best motion picture - comedy or musical,the best exotic marigold hotel,3
best motion picture - comedy or musical,moonrise kingdom,19
best motion picture - comedy or musical,salmon fishing in the yemen,6
best motion picture - comedy or musical,silver linings playbook,221
best motion picture - comedy or musical,les miserables,989
best performance by an actress in a motion picture - comedy or musical,emily blunt,5
best performance by an actress in a motion picture - comedy or musical,judi dench,3
best performance by an actress in a motion picture - comedy or musical,maggie smith,748
best performance by an actress in a motion picture - comedy or musical,meryl streep,23
best performance by an actress in a motion picture - comedy or musical,jennifer lawrence,750
best mini-series or motion picture made for television,the girl,54
best mini-series or motion picture made for television,hatfields & mccoys,89
