Award,Nominee,Mentions
best performance by an actor in a motion picture - comedy or musical,bradley cooper,6348
best performance by an actor in a motion picture - drama,denzel washington,5792
best performance by an actress in a motion picture - comedy or musical,jennifer lawrence,7215
best original song - motion picture,les miserables,7239
best performance by an actress in a supporting role in a motion picture,anne hathaway,7245
"best performance by an actress in a supporting role in a series, mini-series or motion picture made for television",sofia vergara,483
best performance by an actress in a mini-series or motion picture made for television,jessica lange,6545
best motion picture - drama,zero dark thirty,7151
best television series - drama,the newsroom,4134
best performance by an actor in a motion picture - comedy or musical,bill murray,7007
best performance by an actress in a television series - drama,michelle dockery,3303
best performance by an actor in a supporting role in a motion picture,leonardo dicaprio,6743
best performance by an actress in a television series - comedy or musical,amy poehler,6873
best director - motion picture,ben affleck,7246
best performance by an actress in a television series - comedy or musical,tina fey,7166
best performance by an actress in a television series - comedy or musical,zooey deschanel,3681
best performance by an actor in a supporting role in a motion picture,christoph waltz,6805
best performance by an actor in a supporting role in a motion picture,tommy lee jones,3859
best motion picture - drama,argo,7248
best motion picture - drama,django unchained,7169
best performance by an actor in a mini-series or motion picture made for television,benedict cumberbatch,6848
best director - motion picture,quentin tarantino,7028
best performance by an actor in a supporting role in a motion picture,alan arkin,492
best performance by an actress in a motion picture - comedy or musical,maggie smith,7157
best television series - comedy or musical,modern family,6561
best television series - comedy or musical,girls,7206
best performance by an actress in a motion picture - comedy or musical,meryl streep,5809
best television series - drama,breaking bad,5262
best mini-series or motion picture made for television,game change,6847
best mini-series or motion picture made for television,political animals,329
best mini-series or motion picture made for television,the hour,920
best performance by an actress in a mini-series or motion picture made for television,julianne moore,4094
best performance by an actress in a television series - drama,connie britton,3427
best motion picture - drama,life of pi,6972
best performance by an actress in a mini-series or motion picture made for television,sigourney weaver,407
best motion picture - drama,lincoln,7116
best performance by an actor in a motion picture - comedy or musical,hugh jackman,7211
best performance by an actor in a television series - comedy or musical,jim parsons,3119
best performance by an actress in a motion picture - drama,jessica chastain,7241
best performance by an actor in a television series - drama,bryan cranston,5387
best performance by an actor in a television series - drama,jon hamm,7238
best performance by an actor in a television series - drama,jeff daniels,768
best television series - drama,homeland,7158
best performance by an actor in a television series - drama,damian lewis,7181
best performance by an actress in a television series - drama,claire danes,6880
best performance by an actor in a motion picture - comedy or musical,jack black,5011
best television series - drama,boardwalk empire,774
"best performance by an actor in a supporting role in a series, mini-series or motion picture made for television",mandy patinkin,7247
best original score - motion picture,anna karenina,932
best director - motion picture,ang lee,4815
best original score - motion picture,cloud atlas,6345
best original song - motion picture,skyfall,7222
best original song - motion picture,the hunger games,2045
best animated feature film,hotel transylvania,3153
best performance by an actor in a mini-series or motion picture made for television,kevin costner,7091
best performance by an actor in a mini-series or motion picture made for television,toby jones,1287
best motion picture - comedy or musical,moonrise kingdom,6711
best performance by an actress in a television series - comedy or musical,lena dunham,7113
best performance by an actor in a motion picture - drama,richard gere,1424
best director - motion picture,steven spielberg,6612
best motion picture - comedy or musical,silver linings playbook,7170
"best performance by an actor in a supporting role in a series, mini-series or motion picture made for television",max greenfield,2290
"best performance by an actor in a supporting role in a series, mini-series or motion picture made for television",ed harris,6523
best television series - comedy or musical,smash,4796
best performance by an actress in a supporting role in a motion picture,amy adams,2351
best performance by an actress in a supporting role in a motion picture,sally field,6389
best performance by an actress in a mini-series or motion picture made for television,nicole kidman,3430
best mini-series or motion picture made for television,the girl,6133
"best performance by an actor in a supporting role in a series, mini-series or motion picture made for television",danny huston,2717
best motion picture - comedy or musical,salmon fishing in the yemen,5334
best performance by an actor in a television series - comedy or musical,don cheadle,5922
best television series - comedy or musical,the big bang theory,5869
best director - motion picture,kathryn bigelow,5841
best foreign language film,amour,7087
best foreign language film,kon tiki,3104
best foreign language film,rust and bone,3113
best performance by an actress in a television series - drama,glenn close,6429
best performance by an actress in a television series - drama,julianna margulies,3374
best performance by an actor in a motion picture - comedy or musical,ewan mcgregor,3420
best animated feature film,brave,7199
best animated feature film,rise of the guardians,3643
best animated feature film,frankenweenie,6407
cecil b. demille award,jodie foster,7236
best television series - comedy or musical,episodes,4505
best performance by an actor in a motion picture - drama,joaquin phoenix,5910
best performance by an actress in a motion picture - drama,rachel weisz,5870
best performance by an actress in a motion picture - drama,helen mirren,5483
best performance by an actor in a motion picture - drama,john hawkes,5634
best performance by an actress in a motion picture - drama,naomi watts,6575
